asset_id,timestamp,metric,value
web-01,2026-07-02 08:00:00,cpu_percent,34.86
web-01,2026-07-02 08:00:00,memory_percent,31.91
web-01,2026-07-02 08:00:00,disk_percent,53.05
web-01,2026-07-02 08:00:00,response_time_ms,61.32
web-01,2026-07-02 08:00:00,error_rate_percent,0.26
web-01,2026-07-02 08:00:00,status,1.0
web-01,2026-07-02 08:05:00,cpu_percent,28.1
web-01,2026-07-02 08:05:00,memory_percent,33.77
web-01,2026-07-02 08:05:00,disk_percent,51.26
web-01,2026-07-02 08:05:00,response_time_ms,67.42
web-01,2026-07-02 08:05:00,error_rate_percent,0.68
web-01,2026-07-02 08:05:00,status,1.0
web-01,2026-07-02 08:10:00,cpu_percent,25.59
web-01,2026-07-02 08:10:00,memory_percent,33.09
web-01,2026-07-02 08:10:00,disk_percent,53.52
web-01,2026-07-02 08:10:00,response_time_ms,54.63
web-01,2026-07-02 08:10:00,error_rate_percent,0.43
web-01,2026-07-02 08:10:00,status,1.0
web-01,2026-07-02 08:15:00,cpu_percent,22.28
web-01,2026-07-02 08:15:00,memory_percent,35.99
web-01,2026-07-02 08:15:00,disk_percent,53.14
web-01,2026-07-02 08:15:00,response_time_ms,59.99
web-01,2026-07-02 08:15:00,error_rate_percent,0.04
web-01,2026-07-02 08:15:00,status,1.0
web-01,2026-07-02 08:20:00,cpu_percent,34.7
web-01,2026-07-02 08:20:00,memory_percent,34.39
web-01,2026-07-02 08:20:00,disk_percent,52.63
web-01,2026-07-02 08:20:00,response_time_ms,77.53
web-01,2026-07-02 08:20:00,error_rate_percent,0.49
web-01,2026-07-02 08:20:00,status,1.0
web-01,2026-07-02 08:25:00,cpu_percent,22.29
web-01,2026-07-02 08:25:00,memory_percent,32.15
web-01,2026-07-02 08:25:00,disk_percent,50.73
web-01,2026-07-02 08:25:00,response_time_ms,67.74
web-01,2026-07-02 08:25:00,error_rate_percent,0.38
web-01,2026-07-02 08:25:00,status,1.0
web-01,2026-07-02 08:30:00,cpu_percent,25.13
web-01,2026-07-02 08:30:00,memory_percent,38.06
web-01,2026-07-02 08:30:00,disk_percent,51.37
web-01,2026-07-02 08:30:00,response_time_ms,62.6
web-01,2026-07-02 08:30:00,error_rate_percent,0.0
web-01,2026-07-02 08:30:00,status,1.0
web-01,2026-07-02 08:35:00,cpu_percent,25.45
web-01,2026-07-02 08:35:00,memory_percent,28.95
web-01,2026-07-02 08:35:00,disk_percent,54.48
web-01,2026-07-02 08:35:00,response_time_ms,74.91
web-01,2026-07-02 08:35:00,error_rate_percent,0.4
web-01,2026-07-02 08:35:00,status,1.0
web-01,2026-07-02 08:40:00,cpu_percent,31.46
web-01,2026-07-02 08:40:00,memory_percent,33.05
web-01,2026-07-02 08:40:00,disk_percent,53.59
web-01,2026-07-02 08:40:00,response_time_ms,49.72
web-01,2026-07-02 08:40:00,error_rate_percent,0.0
web-01,2026-07-02 08:40:00,status,1.0
web-01,2026-07-02 08:45:00,cpu_percent,20.88
web-01,2026-07-02 08:45:00,memory_percent,35.3
web-01,2026-07-02 08:45:00,disk_percent,55.27
web-01,2026-07-02 08:45:00,response_time_ms,59.94
web-01,2026-07-02 08:45:00,error_rate_percent,0.34
web-01,2026-07-02 08:45:00,status,1.0
web-01,2026-07-02 08:50:00,cpu_percent,35.74
web-01,2026-07-02 08:50:00,memory_percent,34.72
web-01,2026-07-02 08:50:00,disk_percent,53.12
web-01,2026-07-02 08:50:00,response_time_ms,59.77
web-01,2026-07-02 08:50:00,error_rate_percent,0.46
web-01,2026-07-02 08:50:00,status,1.0
web-01,2026-07-02 08:55:00,cpu_percent,26.86
web-01,2026-07-02 08:55:00,memory_percent,28.03
web-01,2026-07-02 08:55:00,disk_percent,53.52
web-01,2026-07-02 08:55:00,response_time_ms,56.3
web-01,2026-07-02 08:55:00,error_rate_percent,0.86
web-01,2026-07-02 08:55:00,status,1.0
web-01,2026-07-02 09:00:00,cpu_percent,26.62
web-01,2026-07-02 09:00:00,memory_percent,26.15
web-01,2026-07-02 09:00:00,disk_percent,52.92
web-01,2026-07-02 09:00:00,response_time_ms,74.24
web-01,2026-07-02 09:00:00,error_rate_percent,0.38
web-01,2026-07-02 09:00:00,status,1.0
web-01,2026-07-02 09:05:00,cpu_percent,24.54
web-01,2026-07-02 09:05:00,memory_percent,29.0
web-01,2026-07-02 09:05:00,disk_percent,51.97
web-01,2026-07-02 09:05:00,response_time_ms,54.24
web-01,2026-07-02 09:05:00,error_rate_percent,0.15
web-01,2026-07-02 09:05:00,status,1.0
web-01,2026-07-02 09:10:00,cpu_percent,34.09
web-01,2026-07-02 09:10:00,memory_percent,32.64
web-01,2026-07-02 09:10:00,disk_percent,53.13
web-01,2026-07-02 09:10:00,response_time_ms,71.63
web-01,2026-07-02 09:10:00,error_rate_percent,0.95
web-01,2026-07-02 09:10:00,status,1.0
web-01,2026-07-02 09:15:00,cpu_percent,27.24
web-01,2026-07-02 09:15:00,memory_percent,35.1
web-01,2026-07-02 09:15:00,disk_percent,53.75
web-01,2026-07-02 09:15:00,response_time_ms,55.32
web-01,2026-07-02 09:15:00,error_rate_percent,0.0
web-01,2026-07-02 09:15:00,status,1.0
web-01,2026-07-02 09:20:00,cpu_percent,30.71
web-01,2026-07-02 09:20:00,memory_percent,37.35
web-01,2026-07-02 09:20:00,disk_percent,53.43
web-01,2026-07-02 09:20:00,response_time_ms,48.01
web-01,2026-07-02 09:20:00,error_rate_percent,0.44
web-01,2026-07-02 09:20:00,status,1.0
web-01,2026-07-02 09:25:00,cpu_percent,25.73
web-01,2026-07-02 09:25:00,memory_percent,32.57
web-01,2026-07-02 09:25:00,disk_percent,54.32
web-01,2026-07-02 09:25:00,response_time_ms,72.54
web-01,2026-07-02 09:25:00,error_rate_percent,0.7
web-01,2026-07-02 09:25:00,status,1.0
web-01,2026-07-02 09:30:00,cpu_percent,30.29
web-01,2026-07-02 09:30:00,memory_percent,36.48
web-01,2026-07-02 09:30:00,disk_percent,53.01
web-01,2026-07-02 09:30:00,response_time_ms,56.49
web-01,2026-07-02 09:30:00,error_rate_percent,0.3
web-01,2026-07-02 09:30:00,status,1.0
web-01,2026-07-02 09:35:00,cpu_percent,27.87
web-01,2026-07-02 09:35:00,memory_percent,42.81
web-01,2026-07-02 09:35:00,disk_percent,53.89
web-01,2026-07-02 09:35:00,response_time_ms,53.82
web-01,2026-07-02 09:35:00,error_rate_percent,0.36
web-01,2026-07-02 09:35:00,status,1.0
web-01,2026-07-02 09:40:00,cpu_percent,24.64
web-01,2026-07-02 09:40:00,memory_percent,35.27
web-01,2026-07-02 09:40:00,disk_percent,53.41
web-01,2026-07-02 09:40:00,response_time_ms,42.81
web-01,2026-07-02 09:40:00,error_rate_percent,0.65
web-01,2026-07-02 09:40:00,status,1.0
web-01,2026-07-02 09:45:00,cpu_percent,25.82
